
---------- Begin Simulation Statistics ----------
simSeconds                                   0.138480                       # Number of seconds simulated (Second)
simTicks                                 138479652000                       # Number of ticks simulated (Tick)
finalTick                                138479652000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    324.80                       # Real time elapsed on the host (Second)
hostTickRate                                426347645                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681284                       # Number of bytes of host memory used (Byte)
simInsts                                    288445808                       # Number of instructions simulated (Count)
simOps                                      288445808                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   888059                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     888059                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        138479653                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.480089                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.082947                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       337831840                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    51556                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      326097067                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  97135                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             49437587                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          20414762                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   4                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           138461116                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.355153                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.991973                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  30975163     22.37%     22.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  24838445     17.94%     40.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  23629279     17.07%     57.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  22085476     15.95%     73.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  14186088     10.25%     83.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  11326859      8.18%     91.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   6588201      4.76%     96.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   3817057      2.76%     99.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1014548      0.73%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             138461116                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2262339     27.69%     27.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                2550715     31.22%     58.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                   25388      0.31%     59.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     59.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     59.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     59.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               103045      1.26%     60.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc            253131      3.10%     63.57% # attempts to use FU when none available (Count)
