sweep,configuration,cpu,l2_size,l2_assoc,l3_size,l3_assoc,l2_miss_rate,l3_miss_rate,sim_ticks
l2,64K_2,timing,64KiB,2,1MiB,8,0.474739,0.288328,889854300000
l2,64K_2,o3,64KiB,2,1MiB,8,0.483679,0.288691,142372643000
l2,64K_4,timing,64KiB,4,1MiB,8,0.477756,0.286507,889904435000
l2,64K_4,o3,64KiB,4,1MiB,8,0.486863,0.286813,142384067000
l2,256K_2,timing,256KiB,2,1MiB,8,0.342581,0.399135,888040189000
l2,256K_2,o3,256KiB,2,1MiB,8,0.349094,0.399438,141525897000
l2,256K_4,timing,256KiB,4,1MiB,8,0.348017,0.392891,888113549000
l2,256K_4,o3,256KiB,4,1MiB,8,0.354652,0.393156,141564818000
l2,1024K_8,timing,1024KiB,8,1MiB,8,0.136887,0.442049,883805203000
l2,1024K_8,o3,1024KiB,8,1MiB,8,0.139645,0.442596,138479652000
l2,1024K_2,timing,1024KiB,2,1MiB,8,0.099213,0.609272,883333757000
l2,1024K_2,o3,1024KiB,2,1MiB,8,0.101425,0.608554,138231254000
l3,1M_8,timing,512KiB,4,1MiB,8,0.278669,0.463083,887070189000
l3,1M_8,o3,512KiB,4,1MiB,8,0.284029,0.464023,140973279000
l3,1M_16,timing,512KiB,4,1MiB,16,0.278669,0.489896,887222547000
l3,1M_16,o3,512KiB,4,1MiB,16,0.284029,0.490158,141128741000
l3,2M_8,timing,512KiB,4,2MiB,8,0.278669,0.216781,885554922000
l3,2M_8,o3,512KiB,4,2MiB,8,0.284026,0.217022,139373420000
l3,2M_16,timing,512KiB,4,2MiB,16,0.278669,0.216781,885554922000
l3,2M_16,o3,512KiB,4,2MiB,16,0.284026,0.217022,139373420000
